[08-Aug-2024 06:01:23 UTC] PHP Warning:  filemtime(): stat failed for C:\Users\Utilisateur\Local Sites\planty\app\public/wp-content/themes/planty/css/theme.css in C:\Users\Utilisateur\Local Sites\planty\app\public\wp-content\themes\planty\functions.php on line 8
[08-Aug-2024 06:01:24 UTC] PHP Warning:  filemtime(): stat failed for C:\Users\Utilisateur\Local Sites\planty\app\public/wp-content/themes/planty/css/theme.css in C:\Users\Utilisateur\Local Sites\planty\app\public\wp-content\themes\planty\functions.php on line 8
[08-Aug-2024 06:03:27 UTC] PHP Warning:  filemtime(): stat failed for C:\Users\Utilisateur\Local Sites\planty\app\public/wp-content/themes/planty/css/theme.css in C:\Users\Utilisateur\Local Sites\planty\app\public\wp-content\themes\planty\functions.php on line 9
[08-Aug-2024 06:03:27 UTC] PHP Warning:  filemtime(): stat failed for C:\Users\Utilisateur\Local Sites\planty\app\public/wp-content/themes/planty/css/theme.css in C:\Users\Utilisateur\Local Sites\planty\app\public\wp-content\themes\planty\functions.php on line 9
[16-Aug-2024 09:01:26 UTC] PHP Warning:  Undefined array key "editor_post_id" in C:\Users\Utilisateur\Local Sites\planty\app\public\wp-content\plugins\elementor\modules\history\revisions-manager.php on line 363
[21-Aug-2024 06:04:41 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:04 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:13 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:14 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:19 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:24 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:29 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:34 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:39 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:44 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:49 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:05:55 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:06:00 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:06:05 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:06:14 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:06:15 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:06:20 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:06:29 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:06:30 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
[21-Aug-2024 06:06:35 UTC] [Image Optimizer]: info in ImageOptimization\Modules\ConnectManager\Components\Connect->get_connect_status(): Status check error. Reason: User is not connected
